id,pugna_name,entity_name,local_name.en,local_name.ar,local_name.cs,local_name.da,local_name.de,local_name.es,local_name.fr,local_name.hi,local_name.it,local_name.ko,local_name.nl,local_name.pl,local_name.pt,local_name.sv,local_name.tr,local_name.zh,local_name.zh-hant,url.en,url.ar,url.cs,url.da,url.de,url.es,url.fr,url.it,url.ko,url.nl,url.pl,url.pt,url.sv,url.tr,url.zh,url.zh-hant,url.hi
da:461,Chromista,Chromista,Chromista,كروميست,Chromista,Chromist,Chromista,cromista,Chromista,क्रोमिस्ट,Chromista,색조류계,Chroomista,Chromista,Cromista,Chromista,kromist,色藻界,色藻界,https://en.wikipedia.org/wiki/Chromista,https://ar.wikipedia.org/wiki/أسناخ_صبغية,https://cs.wikipedia.org/wiki/Chromista,,,https://es.wikipedia.org/wiki/Chromista,https://fr.wikipedia.org/wiki/Chromista,https://it.wikipedia.org/wiki/Chromista,https://ko.wikipedia.org/wiki/유색조식물,https://nl.wikipedia.org/wiki/Chromista,https://pl.wikipedia.org/wiki/Chromisty,https://pt.wikipedia.org/wiki/Chromista,https://sv.wikipedia.org/wiki/Chromista,https://tr.wikipedia.org/wiki/Kromista,https://zh.wikipedia.org/zh-hans/色藻界,https://zh.wikipedia.org/zh-hant/色藻界,
da:459,Bacteria,Bacteria,Bacteria,بكتيريا,Bakterie,Bakterier,Bakterien,Bacterias,Bactéries,जीवाणु,Batteri,박테리아,Bacteriën,Bakterie,bacterias,Bakterier,Bakteriler,大肠杆菌,大腸桿菌,https://en.wikipedia.org/wiki/Bacteria,https://ar.wikipedia.org/wiki/بكتيريا,https://cs.wikipedia.org/wiki/Bakterie,https://da.wikipedia.org/wiki/Bakterier,https://de.wikipedia.org/wiki/Bakterien,https://es.wikipedia.org/wiki/Bacteria,https://fr.wikipedia.org/wiki/Bactérie,https://it.wikipedia.org/wiki/Bacteria,https://ko.wikipedia.org/wiki/세균,https://nl.wikipedia.org/wiki/Bacteriën,https://pl.wikipedia.org/wiki/Bakterie,https://pt.wikipedia.org/wiki/Bactéria,https://sv.wikipedia.org/wiki/Bakterier,https://tr.wikipedia.org/wiki/Bakteri,https://zh.wikipedia.org/zh-hans/细菌,https://zh.wikipedia.org/zh-hant/细菌,https://hi.wikipedia.org/wiki/जीवाणु
da:692,mites,Acari,mites,القراديات,roztoči,mider,Milben,ácaros,acariens,घुन,acari,진드기,mijten,roztocza,ácaros,kvalster,akarlar,蜱螨亚纲,蜱螨亚纲,https://en.wikipedia.org/wiki/Mite#Parasitism,https://ar.wikipedia.org/wiki/سوسة_(عنكبوتيات),https://cs.wikipedia.org/wiki/Rozto%C4%8Di,https://da.wikipedia.org/wiki/Mider,https://de.wikipedia.org/wiki/Milben,https://es.wikipedia.org/wiki/Acari,https://fr.wikipedia.org/wiki/Acari,https://it.wikipedia.org/wiki/Acarina,https://ko.wikipedia.org/wiki/응애,https://nl.wikipedia.org/wiki/Acari_(mijt),https://pl.wikipedia.org/wiki/Roztocze_(pajęczaki),https://pt.wikipedia.org/wiki/Ácaro,https://sv.wikipedia.org/wiki/Kvalster,https://tr.wikipedia.org/wiki/Akarlar,https://zh.wikipedia.org/zh-hans/螨,https://zh.wikipedia.org/zh-hant/螨,
da:458,Fungi,Fungi,Fungi,الفطريات,Houby,Svampe,Pilze,Setas,Champignons,कवक,Funghi,진균류,Paddenstoelen,Grzyby,Fungos,Svampar,Mantarlar,真菌,真菌,https://en.wikipedia.org/wiki/Fungus,https://ar.wikipedia.org/wiki/فطر,https://cs.wikipedia.org/wiki/Houby,https://da.wikipedia.org/wiki/Svampe,https://de.wikipedia.org/wiki/Pilze,https://es.wikipedia.org/wiki/Fungi,https://fr.wikipedia.org/wiki/Fungi,https://it.wikipedia.org/wiki/Fungi,https://ko.wikipedia.org/wiki/균계,https://nl.wikipedia.org/wiki/Schimmels,https://pl.wikipedia.org/wiki/Grzyby,https://pt.wikipedia.org/wiki/Fungi,https://sv.wikipedia.org/wiki/Svampar,https://tr.wikipedia.org/wiki/Mantarlar,https://zh.wikipedia.org/zh-hans/真菌,https://zh.wikipedia.org/zh-hant/真菌,https://hi.wikipedia.org/wiki/फफूंद
da:460,Viruses,Virus,Viruses,الفيروسات,viry,Vira,Viren,Virus,Virus,विषाणु,Virus,바이러스,Virussen,Wirusy,virus,Virus,Virüsler,病毒,病毒,https://en.wikipedia.org/wiki/Virus,https://ar.wikipedia.org/wiki/فيروس,https://cs.wikipedia.org/wiki/Virus,https://da.wikipedia.org/wiki/Virus,https://de.wikipedia.org/wiki/Viren,https://es.wikipedia.org/wiki/Virus,https://fr.wikipedia.org/wiki/Virus,https://it.wikipedia.org/wiki/Virus_(biologia),https://ko.wikipedia.org/wiki/바이러스,https://nl.wikipedia.org/wiki/Virus_(biologie),https://pl.wikipedia.org/wiki/Wirusy,https://pt.wikipedia.org/wiki/Vírus,https://sv.wikipedia.org/wiki/Virus,https://tr.wikipedia.org/wiki/Virüs,https://zh.wikipedia.org/zh-hans/病毒,https://zh.wikipedia.org/zh-hant/病毒,https://hi.wikipedia.org/wiki/विषाणु
da:1224,springtails,Collembola,springtails,قافزات الذيل,chvostoskoci,springhaler,Springschwänze,colémbolo,collemboles,स्प्रिंगटेल,collemboli,톡토기,Springstaarten,skoczogonki,Colêmbolos,hoppstjärt,yay kuyruk böceği,弹尾目,弹尾目,https://en.wikipedia.org/wiki/Springtail,https://ar.wikipedia.org/wiki/قافزات_الذيل,https://cs.wikipedia.org/wiki/Chvostoskoci,https://da.wikipedia.org/wiki/Springhaler,https://de.wikipedia.org/wiki/Springschw%C3%A4nze,https://es.wikipedia.org/wiki/Collembola,https://fr.wikipedia.org/wiki/Collembola,https://it.wikipedia.org/wiki/Collembola,https://ko.wikipedia.org/wiki/톡토기,https://nl.wikipedia.org/wiki/Springstaarten,https://pl.wikipedia.org/wiki/Skoczogonki,https://pt.wikipedia.org/wiki/Collembola,https://sv.wikipedia.org/wiki/Hoppstjärtar,https://tr.wikipedia.org/wiki/Sıçrar_kuyruklular,https://zh.wikipedia.org/zh-hans/弹尾纲,https://zh.wikipedia.org/zh-hant/弹尾纲,
da:651,Phytophthora,Phytophthora,Phytophthora,اللفحة المتأخرة,Phytophthora,Phytophthora,Phytophthora,Phytophthora,Phytophthora,Phytophthora,Phytophthora,Phytophthora,Phytophthora,Phytophthora,Phytophthora,Phytophthora,Phytophthora,疫黴屬,疫黴屬,https://en.wikipedia.org/wiki/Phytophthora,https://ar.wikipedia.org/wiki/لفحة_(جنس),https://cs.wikipedia.org/wiki/Fytoftorov%C3%A1_ko%C5%99enov%C3%A1_hniloba,https://da.wikipedia.org/wiki/Phytophthora,https://de.wikipedia.org/wiki/Phytophthora,https://es.wikipedia.org/wiki/Phytophthora,https://fr.wikipedia.org/wiki/Phytophthora,https://it.wikipedia.org/wiki/Phytophthora,,https://nl.wikipedia.org/wiki/Phytophthora,https://pl.wikipedia.org/wiki/Phytophthora,https://pt.wikipedia.org/wiki/Phytophthora,,,https://zh.wikipedia.org/zh-hans/疫黴屬,https://zh.wikipedia.org/zh-hant/疫黴屬,
da:1075,Hemiptera,Hemiptera,Hemiptera,نصفيات الأجنحة,Polokřídlí,Næbmunde,Schnabelkerfe,Semialas,Hétéroptères,हेमिप्टेरा,Rincoti,노린재목,Halfvleugeligen,Pluskwiaki,Hemiptera,Halvvvingar,Hemiptera,半翅目,半翅目,https://en.wikipedia.org/wiki/Hemiptera,https://ar.wikipedia.org/wiki/نصفيات_الأجنحة,https://cs.wikipedia.org/wiki/Polok%C5%99%C3%ADdl%C3%AD,https://da.wikipedia.org/wiki/Næbmunde,https://de.wikipedia.org/wiki/Schnabelkerfe,https://es.wikipedia.org/wiki/Hemiptera,https://fr.wikipedia.org/wiki/Hemiptera,https://it.wikipedia.org/wiki/Rhynchota,https://ko.wikipedia.org/wiki/노린재목,https://nl.wikipedia.org/wiki/Halfvleugeligen,https://pl.wikipedia.org/wiki/Pluskwiaki,https://pt.wikipedia.org/wiki/Hemiptera,https://sv.wikipedia.org/wiki/Halvvingar,https://tr.wikipedia.org/wiki/Yarım_kanatlılar,https://zh.wikipedia.org/zh-hans/半翅目,https://zh.wikipedia.org/zh-hant/半翅目,https://hi.wikipedia.org/wiki/हेमिपटेरा
da:564,Alternaria,Alternaria,Alternaria,جنس النوباء المتناوبة,Alternaria,Alternaria,Alternaria,Alternaria,Alternaria,Alternaria,Alternaria,Alternaria,Alternaria,Alternaria,Alternaria,Alternaria,Alternaria,链格孢属,链格孢属,https://en.wikipedia.org/wiki/Alternaria,https://ar.wikipedia.org/wiki/نوباء,https://www.biolib.cz/cz/taxon/id171770/,,https://de.wikipedia.org/wiki/Alternaria,https://es.wikipedia.org/wiki/Alternaria,https://fr.wikipedia.org/wiki/Alternaria,https://it.wikipedia.org/wiki/Alternaria,,https://nl.wikipedia.org/wiki/Alternaria,https://pl.wikipedia.org/wiki/Alternaria,https://pt.wikipedia.org/wiki/Alternaria,https://sv.wikipedia.org/wiki/Alternaria,https://tr.wikipedia.org/wiki/Alternaria,https://zh.wikipedia.org/zh-hans/链格孢属,https://zh.wikipedia.org/zh-hant/链格孢属,https://hi.wikipedia.org/wiki/अल्टरनेरिया
da:910,thrips,Thysanoptera,thrips,ثاقبات النبات,třásněnky,trips,Fransenflügler,flecos,thrips,थ्रिप्स,Terebrantia,총채벌레,tripsen,wciornastki,tripes,blomtripsar,kirpikkanatlı,缨翅目,缨翅目,https://en.wikipedia.org/wiki/Thrips,https://ar.wikipedia.org/wiki/هدبيات_الأجنحة,https://cs.wikipedia.org/wiki/T%C5%99%C3%A1snok%C5%99%C3%ADdl%C3%AD,https://da.wikipedia.org/wiki/Trips,https://de.wikipedia.org/wiki/Fransenfl%C3%BCgler,https://es.wikipedia.org/wiki/Thysanoptera,https://fr.wikipedia.org/wiki/Thysanoptera,https://it.wikipedia.org/wiki/Thysanoptera,https://ko.wikipedia.org/wiki/총채벌레목,https://nl.wikipedia.org/wiki/Tripsen,https://pl.wikipedia.org/wiki/Wciornastki,https://pt.wikipedia.org/wiki/Thysanoptera,https://sv.wikipedia.org/wiki/Tripsar,https://tr.wikipedia.org/wiki/Trips,https://zh.wikipedia.org/zh-hans/薊馬,https://zh.wikipedia.org/zh-hant/薊馬,https://hi.wikipedia.org/wiki/थाइसेनोप्टेरा
